timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
09:28:05,1,5975,69.0,395.665,1,395.665,9.5,real_measurement
09:28:10,1,6114,71.0,418.35,1,418.35,10.1,real_measurement
09:28:15,1,6268,78.0,446.356,1,446.356,15.1,real_measurement
09:28:20,1,6408,69.0,417.744,1,417.744,13.3,real_measurement
09:28:25,1,6563,79.0,443.256,1,443.256,7.3,real_measurement
09:28:30,1,6715,70.0,399.37,1,399.37,6.7,real_measurement
09:28:35,1,6862,63.0,399.46,1,399.46,15.7,real_measurement
09:28:40,1,7000,67.0,415.52,1,415.52,12.1,real_measurement
09:28:45,1,7148,79.0,442.02,1,442.02,15.1,real_measurement
09:28:50,1,7294,74.0,401.724,1,401.724,9.3,real_measurement
09:28:55,1,7436,67.0,423.874,1,423.874,17.4,real_measurement
09:29:00,1,7580,74.0,416.738,1,416.738,13.2,real_measurement
09:29:05,1,7724,72.0,421.325,1,421.325,13.7,real_measurement
09:29:10,1,7868,71.0,422.993,1,422.993,12.5,real_measurement
09:29:15,1,8012,55.0,409.695,1,409.695,10.7,real_measurement
09:29:20,1,8158,70.0,418.505,1,418.505,7.3,real_measurement
09:29:25,1,8302,72.0,422.989,1,422.989,19.3,real_measurement
09:29:30,1,8457,77.0,438.949,1,438.949,4.3,real_measurement
09:29:35,1,8606,59.0,394.945,1,394.945,9.4,real_measurement
09:29:40,1,8744,71.0,417.656,1,417.656,14.9,real_measurement
09:29:45,1,8888,70.0,418.409,1,418.409,14.6,real_measurement
09:29:50,1,9031,74.0,411.758,1,411.758,12.9,real_measurement
09:29:55,1,9175,69.0,419.675,1,419.675,11.0,real_measurement
09:30:00,1,9318,73.0,419.698,1,419.698,10.0,real_measurement
09:30:05,1,9461,68.0,410.847,1,410.847,14.5,real_measurement
09:30:10,1,9605,69.0,418.519,1,418.519,10.2,real_measurement
09:30:15,1,9749,71.0,411.686,1,411.686,9.4,real_measurement
09:30:20,1,9892,70.0,414.512,1,414.512,14.5,real_measurement
09:30:25,1,10045,78.0,442.312,1,442.312,11.5,real_measurement
09:30:30,1,10196,69.0,397.631,1,397.631,12.3,real_measurement
09:30:35,1,10332,73.0,417.565,1,417.565,16.1,real_measurement
09:30:40,1,10484,79.0,443.032,1,443.032,9.5,real_measurement
09:30:45,1,10626,70.0,410.952,1,410.952,11.3,real_measurement
09:30:50,1,10770,73.0,416.124,1,416.124,14.4,real_measurement
09:30:55,1,10915,74.0,421.337,1,421.337,9.7,real_measurement
09:31:00,1,11066,79.0,449.592,1,449.592,14.3,real_measurement
09:31:05,1,11215,58.0,398.5,1,398.5,11.7,real_measurement
09:31:10,1,11357,67.0,417.656,1,417.656,12.0,real_measurement
09:31:15,1,11507,63.0,424.316,1,424.316,10.2,real_measurement
09:31:20,1,11658,79.0,440.547,1,440.547,9.7,real_measurement
09:31:25,1,11799,69.0,404.328,1,404.328,14.0,real_measurement
09:31:30,1,11943,79.0,425.742,1,425.742,10.8,real_measurement
09:31:36,1,12091,65.0,412.704,1,412.704,7.4,real_measurement
09:31:41,1,12237,79.0,443.951,1,443.951,18.2,real_measurement
09:31:46,1,12373,72.0,420.778,1,420.778,10.1,real_measurement
